City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
83,Alofi,-19.06,-169.92,84.2,79,100,8.05,NU,light rain
84,Salalah,17.02,54.09,75.2,64,0,4.7,OM,clear sky
85,Nanortalik,60.14,-45.24,33.3,93,100,12.01,GL,light snow
86,Qaqortoq,60.72,-46.03,32.0,94,69,8.05,GL,broken clouds
87,Cayenne,4.93,-52.33,77.0,100,75,6.93,GF,broken clouds
88,Paraiso,9.84,-83.87,69.8,94,75,3.36,CR,fog
89,Mayumba,-3.43,10.66,76.51,86,100,4.03,GA,light rain
90,Norman Wells,65.28,-126.83,-14.8,83,75,5.82,CA,broken clouds
91,San Ramon De La Nueva Oran,-23.13,-64.33,82.99,77,100,2.73,AR,overcast clouds
92,Dikson,73.51,80.55,30.94,99,100,21.18,RU,snow
93,Shubarkuduk,49.14,56.49,16.59,95,42,7.65,KZ,scattered clouds
94,Talnakh,69.49,88.4,6.8,84,90,29.08,RU,heavy snow
95,Ahuimanu,21.44,-157.84,82.4,65,40,14.99,US,scattered clouds
96,Deputatskiy,69.3,139.9,-10.05,91,100,4.0,RU,overcast clouds
97,Coro,11.4,-69.67,78.62,83,95,12.66,VE,overcast clouds
98,Marsa Matruh,31.35,27.25,53.6,87,0,2.37,EG,clear sky
99,Mariquita,5.2,-74.89,73.09,81,100,1.68,CO,overcast clouds
100,New Norfolk,-42.78,147.06,66.0,48,100,4.0,AU,overcast clouds
101,Porbandar,21.64,69.61,72.48,41,0,13.65,IN,clear sky
102,Teya,60.38,92.63,10.47,88,85,2.13,RU,overcast clouds
103,Vao,-22.67,167.48,73.51,67,22,10.89,NC,few clouds
104,Saint Anthony,45.02,-93.22,46.4,69,1,5.46,US,clear sky
105,Ilulissat,69.22,-51.1,8.6,60,99,2.24,GL,overcast clouds
106,Samarai,-10.62,150.67,82.2,76,63,7.94,PG,broken clouds
107,Torbay,47.67,-52.73,53.01,100,90,2.24,CA,overcast clouds
108,Kroonstad,-27.65,27.23,59.0,93,100,4.59,ZA,overcast clouds
109,Killybegs,54.63,-8.45,48.0,92,77,4.74,IE,broken clouds
110,Liuhe,42.24,125.72,17.02,87,100,4.97,CN,overcast clouds
111,Srednekolymsk,67.45,153.68,-11.45,90,98,6.42,RU,overcast clouds
112,Port Alfred,-33.59,26.89,62.62,85,32,12.01,ZA,light rain
113,Isangel,-19.55,169.27,78.8,78,75,5.82,VU,broken clouds
114,Luderitz,-26.65,15.16,60.8,72,0,19.46,NA,clear sky
115,Nueva Guinea,11.69,-84.46,71.62,94,70,7.2,NI,broken clouds
116,Atherton,53.52,-2.49,48.0,85,99,1.01,GB,overcast clouds
117,Hobart,-42.88,147.33,66.0,87,75,9.17,AU,broken clouds
118,Husavik,66.04,-17.34,33.8,74,75,10.29,IS,broken clouds
119,Wladyslawowo,54.79,18.4,39.0,93,75,5.82,PL,light intensity shower rain
120,Bambous Virieux,-20.34,57.76,75.2,73,40,8.05,MU,scattered clouds
121,Wicklow,53.0,-6.42,46.0,93,75,3.36,IE,broken clouds
122,Tuktoyaktuk,69.45,-133.04,6.8,84,75,8.05,CA,light snow
123,Mbandaka,0.05,18.26,70.97,94,95,2.37,CD,overcast clouds
124,Show Low,34.25,-110.03,37.0,59,1,4.7,US,clear sky
125,Walvis Bay,-22.96,14.51,57.99,82,0,6.93,NA,clear sky
126,Jamestown,42.1,-79.24,37.99,95,1,6.93,US,clear sky
127,Dingle,11.0,122.67,82.24,80,96,15.39,PH,overcast clouds
128,Kiama,-34.68,150.87,100.0,31,98,17.0,AU,overcast clouds
129,Makakilo City,21.35,-158.09,82.4,45,75,9.17,US,broken clouds
130,Nuzvid,16.78,80.85,75.2,88,75,5.82,IN,mist
131,Matay,28.42,30.78,52.36,76,0,4.47,EG,clear sky
132,Bangangte,5.14,10.52,62.24,87,98,3.0,CM,overcast clouds
133,Hamilton,39.18,-84.53,42.01,62,1,2.26,US,clear sky
134,Saint-Augustin,51.23,-58.65,31.35,98,100,8.43,CA,light snow
135,Tamworth,52.63,-1.7,46.4,93,90,3.36,GB,mist
136,Cherskiy,68.75,161.3,-3.84,92,100,4.54,RU,overcast clouds
137,Olinda,-8.01,-34.86,78.8,69,40,10.29,BR,scattered clouds
138,Port Elizabeth,-33.92,25.57,60.8,93,40,11.41,ZA,scattered clouds
139,Lebu,-37.62,-73.65,56.05,96,100,11.39,CL,overcast clouds
140,Praya,14.92,-23.51,75.2,64,75,12.75,CV,broken clouds
141,Half Moon Bay,37.46,-122.43,60.8,50,1,10.29,US,clear sky
142,Taoudenni,22.68,-3.98,62.78,30,100,5.82,ML,overcast clouds
143,Tasiilaq,65.61,-37.64,17.6,57,33,4.7,GL,scattered clouds
144,Hofn,64.25,-15.21,41.27,81,100,21.61,IS,light rain
145,Prado,-17.34,-39.22,73.98,89,66,6.35,BR,broken clouds
146,Okhotsk,59.38,143.3,8.29,88,100,12.71,RU,overcast clouds
147,Birao,10.28,22.79,68.25,30,0,6.11,CF,clear sky
148,Codrington,-38.27,141.97,60.49,64,100,15.46,AU,overcast clouds
149,Constitucion,-35.33,-72.42,55.0,87,0,11.9,CL,clear sky
150,Menongue,-14.66,17.69,62.55,92,100,3.22,AO,light rain
151,Skjervoy,70.03,20.97,41.54,74,36,19.19,NO,scattered clouds
152,Saint-Philippe,-21.36,55.77,71.6,68,0,6.93,RE,clear sky
153,Port Lincoln,-34.73,135.87,62.1,57,2,11.65,AU,clear sky
154,Saskylakh,71.92,114.08,12.81,94,96,12.64,RU,overcast clouds
155,Vila Velha,-20.33,-40.29,77.0,83,40,6.93,BR,scattered clouds
156,Jesi,43.53,13.24,50.0,100,94,5.82,IT,mist
157,Araouane,18.9,-3.53,67.96,27,100,7.18,ML,overcast clouds
158,Yar-Sale,66.83,70.83,6.8,94,23,10.6,RU,few clouds
159,Keflavik,64.0,-22.56,37.4,100,90,8.05,IS,overcast clouds
160,Zverinogolovskoye,54.46,64.85,5.7,94,44,5.84,RU,scattered clouds
161,Touros,-5.2,-35.46,77.0,78,20,6.93,BR,few clouds
162,Axim,4.87,-2.24,78.31,84,0,3.85,GH,clear sky
163,Mutoko,-17.4,32.23,64.87,88,94,2.93,ZW,overcast clouds
164,Kochevo,59.6,54.31,8.42,96,10,3.69,RU,clear sky
165,Souillac,-20.52,57.52,75.2,73,40,8.05,MU,scattered clouds
166,Mwanza,-2.52,32.9,66.2,88,75,15.57,TZ,broken clouds
167,Chuy,-33.7,-53.46,70.72,95,100,17.29,UY,light rain
168,Cidreira,-30.18,-50.21,73.56,86,19,20.0,BR,few clouds
169,Badin,24.66,68.84,62.46,29,0,7.85,PK,clear sky
170,Hasaki,35.73,140.83,54.0,61,75,4.7,JP,broken clouds
171,Susanville,40.42,-120.65,41.0,52,1,1.66,US,clear sky
172,Thompson,55.74,-97.86,17.6,85,90,3.36,CA,light snow
173,Port Pirie,-33.18,138.02,66.2,52,40,16.11,AU,scattered clouds
174,Bandrele,-12.91,45.19,78.8,83,40,3.36,YT,scattered clouds
175,Hilo,19.73,-155.09,82.4,54,20,10.29,US,few clouds
176,Portland,45.52,-122.68,44.6,81,90,4.7,US,overcast clouds
177,Los Llanos De Aridane,28.66,-17.92,64.4,82,75,13.87,ES,broken clouds
178,Ponta Do Sol,32.67,-17.1,57.2,76,75,11.41,PT,broken clouds
